arquivo_final,url
1_modulo_mec_tronic_petra_1tom_10a_br_9016.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560070/produtos/1_modulo_mec_tronic_petra_1tom_10a_br_9016.jpg
1_anunciador_de_pres__alc_8mt_l09_multicra.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560071/produtos/1_anunciador_de_pres__alc_8mt_l09_multicra.jpg
1_capa_de_chuva_forrada_brascamp_am_g_2_.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560071/produtos/1_capa_de_chuva_forrada_brascamp_am_g_2_.jpg
1_ant_ext_uhfhdtv_dig-log_sinal_fort_14e.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560071/produtos/1_ant_ext_uhfhdtv_dig-log_sinal_fort_14e.jpg
1_canton_pmoveis_zamar_bicrom_2_12_c25.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560071/produtos/1_canton_pmoveis_zamar_bicrom_2_12_c25.jpg
1_paraf_auto_brocante_chata_phs_42x16_4669.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560071/produtos/1_paraf_auto_brocante_chata_phs_42x16_4669.jpg
1_esp_mec_tronic_petra_4x2_2mod_dist_82004.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560071/produtos/1_esp_mec_tronic_petra_4x2_2mod_dist_82004.jpg
1_paraf_chipboard_chata_phs_6_0_x_60_5611.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560073/produtos/1_paraf_chipboard_chata_phs_6_0_x_60_5611.jpg
1_balde_pvc_zumplast_preto_12lt_alca_polip.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560072/produtos/1_balde_pvc_zumplast_preto_12lt_alca_polip.jpg
1_barra_rosq_jomarca_1mt_zinc_d_38__nc_.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560072/produtos/1_barra_rosq_jomarca_1mt_zinc_d_38__nc_.jpg
1_paraf_auto_brocante_chata_phs_42x13_9131.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560071/produtos/1_paraf_auto_brocante_chata_phs_42x13_9131.jpg
1_fio_nylon_3_0mm10m_pcort_brasf_7536.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560072/produtos/1_fio_nylon_3_0mm10m_pcort_brasf_7536.jpg
1_paraf_chipboard_chata_phs_5_0_x_60_3154.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560072/produtos/1_paraf_chipboard_chata_phs_5_0_x_60_3154.jpg
1_paraf_auto_brocan_sex__4_2_x_16_5871.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560072/produtos/1_paraf_auto_brocan_sex__4_2_x_16_5871.jpg
1_chuveiro_frio_compl_pq_branco_luconi.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560072/produtos/1_chuveiro_frio_compl_pq_branco_luconi.jpg
1_furad_b_d_impacto_38_220v_tm500_560w.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560072/produtos/1_furad_b_d_impacto_38_220v_tm500_560w.jpg
1_barra_rosq_multi_1mt_zinc_d_38__nc_.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560073/produtos/1_barra_rosq_multi_1mt_zinc_d_38__nc_.jpg
1_otto_b_bianco_a_pote_900g.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560073/produtos/1_otto_b_bianco_a_pote_900g.jpg
