arquivo,url_cloudinary
3072_1_CJ_RADIAL_POLLAR_1TOM_2P+T_10A_1901113.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951178/imagens_otimizadas_marketplace/3072_1_CJ_RADIAL_POLLAR_1TOM_2P_T_10A_1901113.jpg"
2025_3_FITA_DUPLA-FACE_3M_FORTE_TRANSP.19MMX2MT.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951179/imagens_otimizadas_marketplace/2025_3_FITA_DUPLA-FACE_3M_FORTE_TRANSP.19MMX2MT.jpg"
3895_3_FRISO_P_PORTA_ALUMINIO__80CM_ALUREM.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951180/imagens_otimizadas_marketplace/3895_3_FRISO_P_PORTA_ALUMINIO__80CM_ALUREM.jpg"
2373_2_FECHAD_STAM_502_ESTREITA_27MM.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951180/imagens_otimizadas_marketplace/2373_2_FECHAD_STAM_502_ESTREITA_27MM.jpg"
1661_2_SUP_TV_LCD_LED_FIXO_UNIV_14_105_PRIME_TE.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951181/imagens_otimizadas_marketplace/1661_2_SUP_TV_LCD_LED_FIXO_UNIV_14_105_PRIME_TE.jpg"
0845_1_LUVA_MAO_LATEX_FORR_AM_07CM_TOP_(M)_SANR.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951183/imagens_otimizadas_marketplace/0845_1_LUVA_MAO_LATEX_FORR_AM_07CM_TOP__M__SANR.jpg"
1112_1_CJ_MILL_4X2_BR_(2S)_21003_MEC.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951184/imagens_otimizadas_marketplace/1112_1_CJ_MILL_4X2_BR__2S__21003_MEC.jpg"
1787_3_LIXA_D_AGUA_1500_L-420_FERJA.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951185/imagens_otimizadas_marketplace/1787_3_LIXA_D_AGUA_1500_L-420_FERJA.jpg"
"1631_3_EXTEN_TRIP_PL_2P_10A_2X0,75X05M_PT_MEGAT.jpg","https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951185/imagens_otimizadas_marketplace/1631_3_EXTEN_TRIP_PL_2P_10A_2X0_75X05M_PT_MEGAT.jpg"
3247_2_ARALDITE_TEKBOND_HOBBY_23GR_10_MIN..jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951186/imagens_otimizadas_marketplace/3247_2_ARALDITE_TEKBOND_HOBBY_23GR_10_MIN..jpg"
2010_3_ANEL_VEDACAO_VASO_SANIT.ARTBOR_C_GUIA.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951188/imagens_otimizadas_marketplace/2010_3_ANEL_VEDACAO_VASO_SANIT.ARTBOR_C_GUIA.jpg"
